Original,Corrected
" Carl Philipp Emanuel bach
Versuch über die wabre Art
das Klavier zu spielen
Deudruck
C. P . Kahnt / beipzig

 Karl Philipp Emanuel Bach
Versuch über die wabre
Art, das Klavier
zul spielen
Kritisch revidierter Neudruck nach der unveränderten, jedoch verbesserten zweiten Fuflage des Originals, orororso Berlin 1759 und 1762 orororo
Mit einem Uorwort und erläuternden Anmerkungen versehen von
Or. Walter Diemann Fünfte Auflage
Eigentum des Uerlegers für ale länder
c. E. Rahnt, beipzig 1925

 
 Vorwort des herausgebers.
Eine kritifch erläuterte Neuausgabe von barl Philipp Emanuel Bachs „Uerfuch über dei wahre Art das Klavier uz {pielen hat Germann Kreis(chmar*) bereits vor Jahren als unabweisbare Notwendigkeit hingeftelt. Zumal gerade diefes Schulwerk, wei Kret{chmar mit Recht bemerkt, ni den Kreifen praktifcher Mufiker längft und von alen des 18. Jahrhunderts ziemlich allein in die Stelle eines Filten Ceftamentes der Methodik
alter Rlaviermulk nicht nur, londern alter Mufik überhaupt aufger","Carl Philipp Emanuel Bach
Versuch über die wahre Art
das Klavier zu spielen
Neudruck
C. P. Kahnt / Leipzig

Karl Philipp Emanuel Bach
Versuch über die wahre
Art, das Klavier
zu spielen
Kritisch revidierter Neudruck nach der unveränderten, jedoch verbesserten zweiten Auflage des Originals, erschienen Berlin 1759 und 1762
Mit einem Vorwort und erläuternden Anmerkungen versehen von
Dr. Walter Niemann
Fünfte Auflage
Eigentum des Verlegers für alle Länder
C. P. Kahnt, Leipzig 1925

Vorwort des Herausgebers.
Eine kritisch erläuterte Neuausgabe von Karl Philipp Emanuel Bachs „Versuch über die wahre Art das Klavier zu spielen“ hat Hermann Kretschmar bereits vor Jahren als unabweisbare Notwendigkeit hingestellt. Zumal gerade dieses Schulwerk, wie Kretschmar mit Recht bemerkt, in den Kreisen praktischer Musiker längst und von allen des 18. Jahrhunderts ziemlich allein an die Stelle eines festen Testamentes der Methodik alter Klavierschulen nicht nur, sondern alter Musik überhaupt aufgerückt ist."
"ückt ift. Nicht Quants' „Uerfuch einer Anleitung, die Flöte traverfière zu {pielen"" - und das mti Ichwerem Unrecht! —, nicht Cofis „Anleitung zur Singekunft"", aj nicht einmal Leopold Mozarts Violin{chule, nicht Marpurgs oder Cürks Klavier(chulen, fondern eben Bachs ""Uerfuch"" hat fich ni dem großen Kreife der praktifchen Mufiker bis heute ma leben- digiten erhalten.
Bachs Klavier|chule gehört mit fr. W. Marpurgs „Anleitung zum Klavier{pielen"" (1755f.) und D. G. Cürks Klavier/chule (1789 f.) zu den drei grundlegenden deut[chen Klavier|chulen des 18. Jahrbunderts. Rechnet man den „Cransilvano"" 6. Dirutas (1597/1609), eine theoretifche Fixierung der altvenezianifchen Klaviermethodik, die nach Hrt der flten noch nicht (charf zwifchen Orgel- und Klaviermulik [cheidet, ab, ol ift Bachs „Uer(uch"" nach Fr. Gouperins „L'art de toucher le clavecin"" (1717) die zweite große, eigentliche Rlavier(chule.
Der Einflus der Bachfchen Klaviermethodik war mi 18. Jahrhundert auf alle deut- (chen Rlaviermetho","Hier ist der korrigierte und modernisierte Auszug aus C.P.E. Bachs 'Versuch über die wahre Art das Clavier zu spielen':

Es ist nicht Quantz' „Versuch einer Anleitung, die Flöte traversière zu spielen"" — und das mit schwerem Unrecht! —, nicht Cosis „Anleitung zur Singekunst"", ja nicht einmal Leopold Mozarts Violinschule, nicht Marpurgs oder Türk's Klavierschulen, sondern eben Bachs ""Versuch"" hat sich im großen Kreise der praktischen Musiker bis heute am lebendigsten erhalten.
Bachs Klavierschule gehört mit Fr. W. Marpurgs „Anleitung zum Klavierspielen"" (1755) und D. G. Türk's Klavierschule (1789) zu den drei grundlegenden deutschen Klavierschulen des 18. Jahrhunderts. Rechnet man den ""Transilvano"" von Diruta (1597/1609), eine theoretische Fixierung der altvenezianischen Klaviermethodik, die nach Art der Zeit noch nicht scharf zwischen Orgel- und Klaviermusik scheidet, ab, so ist Bachs „Versuch"" nach Fr. Couperins „L'art de toucher le clavecin"" (1717) die zweite große, eigentliche Klavierschule.
Der Einfluss der Bach'schen Klaviermethodik war im 18. Jahrhundert auf alle deutschen Klaviermethoden..."
"diker ein durchaus beftimmender. Die wichtigeren Klavier(chulen diejes Jahrhunderts — etwa 6. S. Löhlein (Rlavier(chule 1765/1781f.), J. F. Wiede- burg (Der fich leibft informierende Klavier[pieler 1765—75), G. Fr. Wolf (Unterricht
mi Klavier(pielen 1783 f.), Joh. S. Petri (Anleitung zur praktifchen Mulik 1767f.), P. J. Milchmeyer (Die wahre Art, das Piano-Forte zu (pielen 1797) - find, wie ja Milchmeyer [chon mi Citel verrät, ohne Bach gar nicht denkbar.
*) „Einige Bemerkungen über den Vortrag alter Mufik"", Separatabdruck aus dem Jahrbud) der Mufikbibliothek Peters 1901 und in den Gejammelten Auffäten aus den Jahrbüchern der Mufik- bibliothek Peters, Leipzig 1911, l . 5. Peters.

 IV Uorwort des Gerausgebers.
Bachs „Uerfuch"", wei (chon der Citel fagt, ni der Dispofition des Stofes mi ganzen, der Ausfübrung mi einzelnen, ja in den Kapitelüberichriften fich na Quant' Flötenfchule äußerlich ol eng wei leopold Mozarts Uidlinfchule anlehnend, erbien ni feinem erften Ceile zuerft 1753*) ni ","daher ein durchaus bestimmender. Die wichtigeren Klavierschulen dieses Jahrhunderts — etwa G. S. Löhlein (Klavierschule 1765/1781f.), J. F. Wiedeburg (Der sich selbst informierende Klavierspieler 1765—75), G. Fr. Wolf (Unterricht im Klavierspielen 1783 f.), Joh. S. Petri (Anleitung zur praktischen Musik 1767f.), P. J. Milchmeyer (Die wahre Art, das Piano-Forte zu spielen 1797) - sind, wie ja Milchmeyer schon im Titel verrät, ohne Bach gar nicht denkbar.

*) „Einige Bemerkungen über den Vortrag alter Musik"", Separatabdruck aus dem Jahrbuch der Musikbibliothek Peters 1901 und in den gesammelten Aufsätzen aus den Jahrbüchern der Musikbibliothek Peters, Leipzig 1911, I. S. Peters.

IV Vorwort des Herausgebers.
Bachs „Versuch"", wie schon der Titel sagt, in der Disposition des Stoffes im Ganzen, der Ausführung im Einzelnen, ja in den Kapitelüberschriften sich nach Quantz' Flötenschule äußerlich so eng wie Leopold Mozarts Violinschule anlehnend, erschien in seinem ersten Teil zuerst 1753..."
"Berlin auf eigene Druckkoften mi Selbftverlage. Dei weiteren Auflagen des Werkes ni beiden Teilen ind folgende:
unveränderte, ni den Druckfehlern verbelferte Neudrucke
Erfter teil
(1759 Berlin, mi Selbftverlage, gedruckt bei George Lude- wig Winter
1780 Leipzig,im Schwickert/chen Verlage
1787
ebendort
ebendort
Zweiter Ceil
1762 (erfte Musgabe des(elben)
1780
1787 (mit Zufäten und mu 6neue Klavier(tüde vermehrt) 1797=( 1762 mit Zufäten)
Eine modernifierte Neuausgabe „mi Gewande und nach den Bedürfnifen unferer Zeit"" von Guitau Schilling erfchien als „des Originals vierte Auflage"" mi 19. Jabr- hundert ni herzberg 1852, Franz Mohr, und Berlin 1856, Franz Stage (zwei Ceile ni einem Bande). Unfere, wieder auf den Urtext, und zwar auf die zweite Auflage 1759—62, zurück- greifende Neuausgabe des Werkes ift demnach, [oweit der erfte Ceil, die eigentliche und auch von b. 5. Bitter**) alein berücklichtigte Klavierfchule, mi Wortlaut des Originals
ni Frage kommt, dei fünfte (1906), [ecb{te (1917)","Berlin auf eigene Druckkosten im Selbstverlage. Die weiteren Auflagen des Werkes in beiden Teilen sind folgende:
unveränderte, von den Druckfehlern verbesserte Neudrucke
Erster Teil
(1759 Berlin, im Selbstverlage, gedruckt bei George Ludwig Winter
1780 Leipzig, im Schwickertschen Verlage
1787
ebendort
ebendort
Zweiter Teil
1762 (erste Ausgabe desselben)
1780
1787 (mit Zusätzen und um sechs neue Klavierstücke vermehrt) 1797 (= 1762 mit Zusätzen)
Eine modernisierte Neuausgabe „im Gewande und nach den Bedürfnissen unserer Zeit"" von Gustav Schilling erschien als „des Originals vierte Auflage"" im 19. Jahrhundert in Herzberg 1852, Franz Mohr, und Berlin 1856, Franz Stage (zwei Teile in einem Bande). Unsere, wieder auf den Urtext, und zwar auf die zweite Auflage 1759—62, zurückgreifende Neuausgabe des Werkes ist demnach, soweit der erste Teil, die eigentliche und auch von b. 5. Ritter**) allein berücksichtigte Klavierschule, im Wortlaut des Originals
in Frage kommt, die fünfte (1906), sechste (1917)"
" und fiebente (1920), [oweit es [ich um den zweiten teil, die eigentliche harmonie- und Generalbaglehre handelt, die ebenfalls fünfte, [ech{te und fiebente (in beiden Fällen die Schillingíche Arbeit nicht berückfichtigt).
Die Eigentümlichkeit und den Wert des Bachfchen Werkes für feine und für unfere Zeit hat unter den älteren Klavier(chrift{tellern wohl am [chönften und richtigiten Adolph Kullak ni feiner „Afthetik des Klavier(piels""***), unter den neueren neben Kretfchmar hauptfächlich Oskar Biet) hervorgehoben und begründet. Es bedarf nicht erft der Zeugen Gerber, der auf Bachs Schultern [tehenden Klaffiker baydn, Mozart und Beet- hoven, mu feine hobe und — was Bie [chon ni der Methodik (eines, den praktifch längit unbeanftandeten Daumen endlich auch theoretifch ni fein voles Recht einjetenden Fingerfatses bemerkt - ni vielem auch ni befonderem Maße fort(chrittliche Bedeutung zu rechtfertigen. Seine älthetifchen und feine, die praktifche Seite des Klavierípiels
E c i p z i g 1 9 0 5","Und siebente (1920), soweit es sich um den zweiten Teil, die eigentliche Harmonie- und Generalbasslehre handelt, die ebenfalls fünfte, sechste und siebente (in beiden Fällen die Schillingsche Arbeit nicht berücksichtigt).
Die Eigentümlichkeit und den Wert des Bachschen Werkes für seine und für unsere Zeit hat unter den älteren Klavierschriftstellern wohl am schönsten und richtigsten Adolph Kullak in seiner „Ästhetik des Klavierspiels""***, unter den neueren neben Kretschmar hauptsächlich Oskar Bie hervorgehoben und begründet. Es bedarf nicht erst der Zeugen Gerber, der auf Bachs Schultern stehenden Klassiker Haydn, Mozart und Beethoven, um seine hohe und — was Bie schon in der Methodik seines, den praktisch längst unbeanstandeten Daumen endlich auch theoretisch zu seinem volles Recht einsetzendem Fingersatzes bemerkt - in vielem auch in besonderem Maße fortschrittliche Bedeutung zu rechtfertigen. Seine ästhetischen und seine, die praktische Seite des Klavierspiels
Leipzig 1905"
" , 5 . 1 0 5 , i t e i n t a t a l e r D r u d e b i e m a i c e m V e z e i c h r i s v o n E . P h i l . E m . B a c h s We r k e r . **) nI „G. Phil. Em. und Wilb. Friedem. Bach und deren Brüder"", Berlin 1868, 2 Bde., Wilb. Müller, .S 19 f.
***) Berlin 1860. Neunte Auflage vom herausgeber dieles Buches, Leipzig, 1922, G. F. Kabnt; dafelb[t ausführliche, auszugsweife Inhaltsangabe dieles Bach|chen und aller wichtigeren klavier- methodifcen Schulwerke des 18. und der folgenden Jahrhunderte.
+) In „Das Klavier und feine Meifter"". München 1898, 3. Auflage 1921, 5. Bruckmann.

 Vorwort des herausgebers. V
lehrenden Ceile haben auch heute noch nichts von ihrem Werte und der Möglichkeit ihrer praktifchen Dutanwendung eingebüßt. Das allgemeine Intereffe liegt bei allen, von Rulak (charf betonten Mängeln (Sprunghaftigkeit ni der lyftematifchen Gliederung, neigung zu aphoriftfcher Form, nicht genügend (charfe, wifen chaftlide Abgrenzung des Stofes, Fehlen einheitlicher äfthetifcher Gefetse) n",", 5. 105, in einem Katalog einer Druckerei im Verzeichnis von E. Phil. Em. Bachs Werke. **) In „C. Phil. Em. und Wilh. Friedem. Bach und deren Brüder"", Berlin 1868, 2 Bde., Wilh. Müller, S. 19 f.
***) Berlin 1860. Neunte Auflage vom Herausgeber dieses Buches, Leipzig, 1922, G. F. Kahn; dasselbe ausführliche, auszugsweise Inhaltsangabe dieses Bachschen und aller wichtigeren klaviermethodischen Schulwerke des 18. und der folgenden Jahrhunderte.
+) In „Das Klavier und seine Meister"". München 1898, 3. Auflage 1921, F. Bruckmann.

Vorwort des Herausgebers. V
Lehrenden Teile haben auch heute noch nichts von ihrem Werte und der Möglichkeit ihrer praktischen Anwendung eingebüßt. Das allgemeine Interesse liegt bei allen, von Rulak scharf betonten Mängeln (Sprunghaftigkeit in der systematischen Gliederung, Neigung zu aphoristischer Form, nicht genügend scharfe wissenschaftliche Abgrenzung des Stoffes, Fehlen einheitlicher ästhetischer Gesetze)…"
"i der frt, wei es die praktifche Klavier(pielkunft feiner Zeit nach alen Seiten der forgfältigiten theoretifchen Unter(uchung unterwirit. Das gefchichtliche Interefle gründet fich auf feine Bedeutung als eines der allerwichtigíten Quelenwerke, als „das ausführlichite klaviertechnifche Buch, welches bis dahin erfchienen war"" (Bie), für das theoretifche und praktifche Studium älterer Klavier- mufik und, mi binblik auf die ausfübrlich abgehandelten Kapitel von der Manieren-, Hfekten», Improvijations-, harmonie- und Generalbaßlehre, mit den gleich zu Anfang genannten großen ergänzenden Schulwerken für das der älteren Mufik überhaupt. Ganz abgefehen von der grundlegenden älthetifchen Bedeutung feiner Kapitel „Uom Vortrage"", : „Don gewilfen Zierlichkeiten des Accompagnements"", „Uon der freien Fantafie"", ift das Werk noch heute eine unvergleichliche und mit Marpurg und Cürk die reich{te Quele zum Studium älterer Klaviermufik, namentlich der Manierenlehre, der Bauart und Uerwendung der alten C","In der Art, wie es die praktische Klavierspielkunst seiner Zeit nach allen Seiten der sorgfältigsten theoretischen Untersuchung unterwirft. Das geschichtliche Interesse gründet sich auf seine Bedeutung als eines der allerwichtigsten Quellenwerke, als „das ausführlichste klaviertechnische Buch, welches bis dahin erschienen war"" (Bie), für das theoretische und praktische Studium älterer Klaviermusik und, im Hinblick auf die ausführlich abgehandelten Kapitel von der Manieren-, Effekten-, Improvisations-, Harmonie- und Generalbasslehre, mit den gleich zu Anfang genannten großen ergänzenden Schulwerken für das der älteren Musik überhaupt. Ganz abgesehen von der grundlegenden ästhetischen Bedeutung seiner Kapitel „Vom Vortrag"", „Von gewissen Zierlichkeiten des Accompagnements"", „Von der freien Fantasie"", ist das Werk noch heute eine unvergleichliche und mit Marpurg und Türk die reichste Quelle zum Studium älterer Klaviermusik, namentlich der Manierenlehre, der Bauart und Verwendung der alten C."
"aftenin{trumente, aler Einzelheiten und Sonderfäle der Generalbablebre; von hohem Intereffe auch durch gelegentliche Seitenblicke auf Cheorie und Praxis der Kunft feines großen Uaters, der zeitgenöffichen und von dem großen hamburger Meifter des deutichen „galanten* Stils befonders"" verehrten franzöfifchen, auch italienifchen Glaveciniften. Da die immerhin gutgemeinte und etwas leichter zugäng- liche „Modernifierte"" Neuausgabe von Guftau Schiling als eine böfe Uerbalbornung wiffen(chaftlich nicht ernft genommen werden konnte, hatte fich lein von der Verlags- handlung in dankenswerter Weife ermöglichter, kritifch erläuterter Neudruck bei der wachfenden Seltenheit und Koftpieligkeit der alten Originalausgaben nicht allein für die durch mulikwiffen(chaftliche Studien zunächft daran intereffierten akademifchen Kreife
als notwendig, fondern auch ni der für ein derartiges „[chweres"" fachlich-ipezialiftifches Werk erftaunlich und hocherfreulich Ichnelen Folge der erften Huflagen des Neudrucks","aften Instrumente, aller Einzelheiten und Sonderfälle der Generalbaßlehre; von hohem Interesse auch durch gelegentliche Seitenblicke auf Theorie und Praxis der Kunst seines großen Vaters, der zeitgenössischen und von dem großen Hamburger Meister des deutschen „galanten“ Stils besonders verehrten französischen, auch italienischen Clavecinisten. Da die immerhin gutgemeinte und etwas leichter zugängliche „modernisierte“ Neuausgabe von Gustav Schilling als eine böse Verballhornung wissenschaftlich nicht ernst genommen werden konnte, hatte sich ein von der Verlagshandlung in dankenswerter Weise ermöglichter, kritisch erläuterter Neudruck bei der wachsenden Seltenheit und Kostspieligkeit der alten Originalausgaben nicht allein für die durch musikwissenschaftliche Studien zunächst daran interessierten akademischen Kreise als notwendig, sondern auch für die für ein derartiges „schweres“ fachlich-spezialistisches Werk erstaunlich und hocherfreulich schnellen Folge der ersten Auflagen des Neudrucks"
" als ein wirkliches Bedürfnis heraus(tellt.
Er gefchah nach folgenden Grundfätsen: Der Wortlaut der Flusgabe 1759/62, dem erften unveränderten, nur ni den Druckfehlern verbefferten Neudruck, wurde diefer Neu- ausgabe zugrunde gelegt. Der Originaltext wurde ni Orthographie und Interpunktion (treng gewahrt. Dei auszugsweife Mitteilung einiger Paragraphen befchränkt [ich auf Nebenfächliches und von der zweiten Auflage ab mi erften Ceil auf wenige Paragraphen, mi zweiten lediglich auf die Intervallen und harmonielehre. Damit ift des Philipp Emanuel Bach-Forcher und Gerausgeber Geinrich Schenkers*) Wunfch eines nach Möglichkeit
*) In „Ein Beitrag zur Omamentik. Als Einführung zu Ph. Em. Bac)s Klavierwerken u[w.* Wien, 2. Fuft. 1908, Univeríal-Edition. Ebendort Schenkers neue kritilche, nach denfelben Grund- äten vorgenommene Fusgabe von des INeifters Klavierwerken, die bis dahin wobl lediglic) zumeift

 VI Vorwort des herausgebers.
lückenlofen Neudrucks entfprochen worden. Die Einteilung in","als ein wirkliches Bedürfnis herausstellt.
Er geschah nach folgenden Grundsätzen: Der Wortlaut der Ausgabe 1759/62, dem ersten unveränderten, nur in den Druckfehlern verbesserten Neudruck, wurde dieser Neuausgabe zugrunde gelegt. Der Originaltext wurde in Orthographie und Interpunktion streng gewahrt. Die auszugsweise Mitteilung einiger Paragraphen beschränkt sich auf Nebensächliches und von der zweiten Auflage ab im ersten Teil auf wenige Paragraphen, im zweiten lediglich auf die Intervalle und Harmonielehre. Damit ist des Philipp Emanuel Bach-Forschers und Herausgebers Heinrich Schenkers*) Wunsch eines nach Möglichkeit
*) In „Ein Beitrag zur Ornamentik. Als Einführung zu Ph. Em. Bachs Klavierwerken usw.“ Wien, 2. Aufl. 1908, Universal-Edition. Ebendort Schenkers neue kritische, nach denselben Grundsätzen vorgenommene Ausgabe von des Meisters Klavierwerken, die bis dahin wohl lediglich zumeist

VI Vorwort des Herausgebers.
lückenlosen Neudrucks entsprochen worden. Die Einteilung in"
" hauptftücke, Abteilungen und Paragraphen wurde beibehalten, die Seitenzabl des Originals zur leichteren Z=i tierung ni den Cext fortlaufend ni eckigen Klammern [] eingefügt. File, durch die vom Originale abweichende Ueränderung der Druckart, Schrift und der auszugsweifen Mitteilung einiger Paragraphen fich ergebenden Veränderungen der Inhaltsangabe ma Kopfe der Seiten und ale vom herausgeber beigefügten Zufäte ni Cext und Anmer- kungen wurden gleichfalls ni eckige Klammern [], die fortlaufenden Paragraphenziffern innerhalb der auszugsweife gegebenen teile ni runde Klammern ( ) eingefchloffen. Das mi Original fehlende Inhaltsverzeichnis ift vom herausgeber neu angefertigt, die am Schlufe der Originalausgabe mitgeteilten Druckfehler find (tillichweigend mi Cext verbeffert. Dei mi Original auf fechs bejonderen Cafeln ni Kupfer geftochenen Roten- beifpiele (Exempel) find zur Erhöhung der praktifchen Brauchbarkeit des Deudrucks
ni den Cext an Ort und Stele eingefügt, die als anmutige Mufte","Hauptstücke, Abteilungen und Paragraphen wurden beibehalten, die Seitenzahl des Originals zur leichteren Zitierung in den Text fortlaufend in eckigen Klammern [] eingefügt. File, durch die vom Originale abweichende Veränderung der Druckart, Schrift und der auszugsweisen Mitteilung einiger Paragraphen sich ergebenden Veränderungen der Inhaltsangabe am Kopfe der Seiten und alle vom Herausgeber beigefügten Zusätze in Text und Anmerkungen wurden gleichfalls in eckige Klammern [], die fortlaufenden Paragraphenziffern innerhalb der auszugsweise gegebenen Teile in runde Klammern ( ) eingeschlossen. Das im Original fehlende Inhaltsverzeichnis ist vom Herausgeber neu angefertigt, die am Schlusse der Originalausgabe mitgeteilten Druckfehler sind stillschweigend im Text verbessert. Die im Original auf sechs besonderen Tafeln in Kupfer gestochenen Notenbeispiele (Exempel) sind zur Erhöhung der praktischen Brauchbarkeit des Neudrucks in den Text an Ort und Stelle eingefügt, die als anmutige Muster"
